property	categories
P81	Q15720608,Q18616576,Q22984363,Q23069616,Q23310071
P405	Q15720608,Q18609040,Q18616576,Q22988603
P447	Q15720608,Q18618644,Q18616576
P453	Q15720608,Q18616576,Q22984512,Q18618644
P459	Q15720608,Q18616576
P518	Q15720608,Q18616576
P531	Q15720608,Q18616576,Q22984475
P548	Q15720608,Q18616576
P554	Q15720608,Q18616576,Q21264328
P560	Q15720608,Q18616576
P574	Q15720608,Q18609040,Q18636219,Q18616576,Q22988603,Q18668171
P642	Q15720608,Q18616576
P654	Q15720608,Q18616576
P656	Q15720608,Q18616576
P659	Q15720608,Q18616576
P670	Q15720608,Q18616576,Q21264328,Q22984363,Q26935994
P678	Q15720608,Q18616576
P697	Q15720608,Q18609040,Q18616576,Q22988603
P748	Q15720608,Q18616576
P768	Q15720608,Q18608871,Q18616576
P790	Q15720608,Q18616576
P794	Q15720608,Q18616576
P796	Q15720608,Q18616576
P805	Q15720608,Q18616576
P817	Q15720608,Q18616576
P972	Q15720608,Q18616576
P1001	Q15720608,Q18616576,Q22984026,Q22997934
P1011	Q15720608,Q18616576
P1012	Q15720608,Q18616576
P1013	Q15720608,Q18616576
P1026	Q15720608,Q18608871,Q18616576
P1039	Q15720608,Q18616576
P1065	Q15720608,Q18608359,Q18616576
P1107	Q15720608,Q18616576
P1111	Q15720608,Q18616576,Q22964818,Q22964785,Q22984475
P1129	Q15720608,Q18616576,Q21818626,Q18608871,Q28106456,Q22984545
P1135	Q15720608,Q18616576
P1262	Q15720608,Q18618628,Q18616576,Q18614948,Q19847637
P1264	Q15720608,Q18616576
P1310	Q15720608,Q18616576
P1319	Q15720608,Q18616576
P1326	Q15720608,Q18616576
P1351	Q15720608,Q18616576,Q22964372,Q21818626,Q18608993,Q18608871,Q28106456,Q22984545
P1353	Q15720608,Q18616576,Q21099935
P1354	Q15720608,Q18618644,Q18616576,Q28464773
P1358	Q15720608,Q18616576,Q22964372,Q21818626,Q18608993,Q18608871,Q28106456,Q22984545
P1365	Q15720608,Q18616576
P1366	Q15720608,Q18616576
P1443	Q15720608,Q18616576,Q21818626,Q22964785,Q28106586,Q22984545
P1480	Q15720608,Q18616576
P1534	Q15720608,Q18616576,Q22964785
P1545	Q15720608,Q18616576,Q21264328
P1674	Q15720608,Q18616576
P1675	Q15720608,Q18616576
P1676	Q15720608,Q18616576
P1686	Q15720608,Q18616576
P1706	Q15720608,Q18616576
P1721	Q15720608,Q18616576,Q20085670,Q21099935,Q19643892,Q18616084
P1773	Q15720608,Q18618644,Q18616576
